item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
serde_core::de::Deserialize,Trait,serde_core::de::Deserialize,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::Deserialize` so the full public API surface is represented,
serde_core::de::DeserializeOwned,Trait,serde_core::de::DeserializeOwned,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::DeserializeOwned` so the full public API surface is represented,
serde_core::de::Deserializer,Trait,serde_core::de::Deserializer,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::Deserializer` so the full public API surface is represented,
serde_core::de::EnumAccess,Trait,serde_core::de::EnumAccess,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::EnumAccess` so the full public API surface is represented,
serde_core::de::Error,Trait,serde_core::de::Error,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::Error` so the full public API surface is represented,
serde_core::de::Expected,Trait,serde_core::de::Expected,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::Expected` so the full public API surface is represented,
serde_core::de::IntoDeserializer,Trait,serde_core::de::IntoDeserializer,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::IntoDeserializer` so the full public API surface is represented,
serde_core::de::MapAccess,Trait,serde_core::de::MapAccess,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::MapAccess` so the full public API surface is represented,
serde_core::de::OneOf,Struct,serde_core::de::OneOf,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::OneOf` and make the new wrapper `ElicitComplete`,
serde_core::de::SeqAccess,Trait,serde_core::de::SeqAccess,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::SeqAccess` so the full public API surface is represented,
serde_core::de::Unexpected,Enum,serde_core::de::Unexpected,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::Unexpected` and make the new wrapper `ElicitComplete`,
serde_core::de::VariantAccess,Trait,serde_core::de::VariantAccess,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::VariantAccess` so the full public API surface is represented,
serde_core::de::Visitor,Trait,serde_core::de::Visitor,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `serde_core::de::Visitor` so the full public API surface is represented,
serde_core::de::WithDecimalPoint,Struct,serde_core::de::WithDecimalPoint,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::WithDecimalPoint` and make the new wrapper `ElicitComplete`,
serde_core::de::fmt::LookForDecimalPoint,Struct,serde_core::de::fmt,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::fmt::LookForDecimalPoint` and make the new wrapper `ElicitComplete`,
serde_core::de::ignored_any::IgnoredAny,Struct,serde_core::de::ignored_any,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::ignored_any::IgnoredAny` and make the new wrapper `ElicitComplete`,
serde_core::de::impls::ArrayInPlaceVisitor,Struct,serde_core::de::impls,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::impls::ArrayInPlaceVisitor` and make the new wrapper `ElicitComplete`,
serde_core::de::impls::ArrayVisitor,Struct,serde_core::de::impls,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::impls::ArrayVisitor` and make the new wrapper `ElicitComplete`,
serde_core::de::impls::BoolVisitor,Struct,serde_core::de::impls,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::impls::BoolVisitor` and make the new wrapper `ElicitComplete`,
serde_core::de::impls::BytesVisitor,Struct,serde_core::de::impls,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::impls::BytesVisitor` and make the new wrapper `ElicitComplete`,
serde_core::de::impls::CStringVisitor,Struct,serde_core::de::impls,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `serde_core::de::impls::CStringVisitor` and make the new wrapper `ElicitComplete`,
